species,longitude,latitude
Cynomys mexicanus,-100.827594,24.262197
Cynomys mexicanus,-100.828127,24.264998
Cynomys mexicanus,-100.913724,23.984261
Cynomys mexicanus,-100.795795,24.270069
Cynomys mexicanus,-100.904634,24.198402
Cynomys mexicanus,-100.927481,24.137569
Cynomys mexicanus,-100.921725,24.109201
Cynomys mexicanus,-100.917617,24.131264
Cynomys mexicanus,-100.906889,24.207069
Cynomys mexicanus,-100.90815,24.208479
Cynomys mexicanus,-100.823554,24.266146
Cynomys mexicanus,-100.930064,24.124164
Cynomys mexicanus,-100.830525,24.261899
Cynomys mexicanus,-100.92647,24.14299
Cynomys mexicanus,-100.797363,24.272967
Cynomys mexicanus,-100.909925,24.213288
Cynomys mexicanus,-100.91473,24.124972
Cynomys mexicanus,-100.928612,24.153923
Cynomys mexicanus,-100.793582,24.266755
Cynomys mexicanus,-100.901059,24.199612
Cynomys mexicanus,-100.929647,24.118617
Cynomys mexicanus,-100.830005,24.264849
Cynomys mexicanus,-100.907172,24.205612
Cynomys mexicanus,-100.911091,24.214293
Cynomys mexicanus,-100.927412,24.141506
Cynomys mexicanus,-100.826979,24.2667
Cynomys mexicanus,-100.923699,24.109654
Cynomys mexicanus,-100.83143,24.261871
Cynomys mexicanus,-100.908717,24.131465
Cynomys mexicanus,-100.929173,24.121792
Cynomys mexicanus,-100.790324,24.273249
Cynomys mexicanus,-100.927313,24.149976
Cynomys mexicanus,-100.916591,24.129724
Cynomys mexicanus,-100.925217,24.128957
Cynomys mexicanus,-100.90689,24.214481
Cynomys mexicanus,-100.902213,24.200455
Cynomys mexicanus,-100.914924,24.124139
Cynomys mexicanus,-100.928737,24.15375
Cynomys mexicanus,-100.926027,24.15085
Cynomys mexicanus,-100.925488,24.143761
Cynomys mexicanus,-100.916835,24.112413
Cynomys mexicanus,-100.903465,24.213856
Cynomys mexicanus,-100.91065,23.981094
Cynomys mexicanus,-100.927893,24.155819
Cynomys mexicanus,-100.916089,24.121117
Cynomys mexicanus,-100.825336,24.266142
Cynomys mexicanus,-100.829379,24.261679
Cynomys mexicanus,-100.794684,24.270191
Cynomys mexicanus,-100.915968,24.114329
Cynomys mexicanus,-100.9243,24.14522
Cynomys mexicanus,-100.82833,24.264761
Cynomys mexicanus,-100.907307,24.21007
Cynomys mexicanus,-100.924964,24.145546
Cynomys mexicanus,-100.902584,24.216846
Cynomys mexicanus,-100.8312,24.260952
Cynomys mexicanus,-100.909005,24.214319
Cynomys mexicanus,-100.825834,24.266506
Cynomys mexicanus,-100.824261,24.266056
Cynomys mexicanus,-100.822764,24.266011
Cynomys mexicanus,-100.928624,24.156054
Cynomys mexicanus,-100.904243,24.124318
Cynomys mexicanus,-100.927819,24.140381
Cynomys mexicanus,-100.922318,24.144956
Cynomys mexicanus,-100.905904,24.21304
Cynomys mexicanus,-100.927346,24.125246
Cynomys mexicanus,-100.914015,23.983336
Cynomys mexicanus,-100.831298,24.264301
Cynomys mexicanus,-100.901421,24.202171
Cynomys mexicanus,-100.831433,24.26206
Cynomys mexicanus,-100.926724,24.151997
Cynomys mexicanus,-100.929935,24.124058
Cynomys mexicanus,-100.910724,24.20814
Cynomys mexicanus,-100.907772,24.214849
Cynomys mexicanus,-100.928317,24.151995
Cynomys mexicanus,-100.927503,24.113399
Cynomys mexicanus,-100.822459,24.262574
Cynomys mexicanus,-100.927865,24.125131
Cynomys mexicanus,-100.928285,24.13671
Cynomys mexicanus,-100.931117,24.124187
Cynomys mexicanus,-100.927414,24.139664
Cynomys mexicanus,-100.916797,24.130372
Cynomys mexicanus,-100.909193,24.215084
Cynomys mexicanus,-100.900147,24.202521
Cynomys mexicanus,-100.928245,24.153097
Cynomys mexicanus,-100.926471,24.13648
Cynomys mexicanus,-100.78976,24.271667
Cynomys mexicanus,-100.250674,24.644827
Cynomys mexicanus,-100.069575,24.664807
Cynomys mexicanus,-101.088727,25.098816
Cynomys mexicanus,-101.027,24.959
Cynomys mexicanus,-100.463661,24.840047
Cynomys mexicanus,-100.630151,25.019046
Cynomys mexicanus,-100.926814,24.118617
Cynomys mexicanus,-100.340832,24.645546
Cynomys mexicanus,-100.64241,24.858492
Cynomys mexicanus,-100.952921,25.062826
Cynomys mexicanus,-100.752027,24.895988
Cynomys mexicanus,-100.739487,25.059423
Cynomys mexicanus,-100.839544,24.897706
Cynomys mexicanus,-100.385674,24.450069
Cynomys mexicanus,-100.994231,25.050018
Cynomys mexicanus,-100.758616,24.407222
Cynomys mexicanus,-100.340051,24.490186
Cynomys mexicanus,-100.792272,24.273804
Cynomys mexicanus,-101.014245,25.05827
Cynomys mexicanus,-100.793022,25.073908
Cynomys mexicanus,-100.717509,24.966596
Cynomys mexicanus,-101.082611,25.108835
Cynomys mexicanus,-101.041385,24.810448
Cynomys mexicanus,-100.743174,25.036331
Cynomys mexicanus,-100.48521,24.928192
Cynomys mexicanus,-101.058597,24.968733
Cynomys mexicanus,-101.079285,25.103845
Cynomys mexicanus,-100.970444,25.064066
Cynomys mexicanus,-100.90839,24.961644
Cynomys mexicanus,-101.100998,25.256067
Cynomys mexicanus,-100.727084,25.23115
Cynomys mexicanus,-101.007474,25.058099
Cynomys mexicanus,-100.720321,24.91882
Cynomys mexicanus,-100.984882,25.049123
Cynomys mexicanus,-101.072965,25.110063
Cynomys mexicanus,-100.959172,25.098773
Cynomys mexicanus,-100.793333,25.072785
Cynomys mexicanus,-100.571175,25.028615
Cynomys mexicanus,-100.595076,25.023115
Cynomys mexicanus,-100.798194,25.072365
Cynomys mexicanus,-100.771259,25.073574
Cynomys mexicanus,-101.197717,25.017384
Cynomys mexicanus,-100.582709,25.025432
Cynomys mexicanus,-100.652296,24.748981
Cynomys mexicanus,-100.726702,25.214606
Cynomys mexicanus,-100.792995,25.065278
Cynomys mexicanus,-100.824281,25.069528
Cynomys mexicanus,-101.122225,24.973409
Cynomys mexicanus,-100.633938,24.781677
Cynomys mexicanus,-100.910249,24.730783
Cynomys mexicanus,-101.081262,25.118739
Cynomys mexicanus,-101.078465,25.106375
Cynomys mexicanus,-100.89824,25.008105
Cynomys mexicanus,-100.384751,24.448624
Cynomys mexicanus,-100.834225,24.981084
Cynomys mexicanus,-100.339852,24.48998
Cynomys mexicanus,-100.721695,25.03315
Cynomys mexicanus,-101.192346,25.039561
Cynomys mexicanus,-100.593705,25.019004
Cynomys mexicanus,-100.907238,24.712918
Cynomys mexicanus,-101.094161,24.846332
Cynomys mexicanus,-101.047286,24.816812
Cynomys mexicanus,-100.809361,25.07213
Cynomys mexicanus,-100.805991,25.08156
